Date,Beta
2021-01-31,0.6294
2020-12-31,0.5825
2020-11-30,0.5829
2020-10-31,0.6235
2020-09-30,0.6685
2020-08-31,0.674
2020-07-31,0.652
2020-06-30,0.6514
2020-05-31,0.6559
2020-04-30,0.6702
2020-03-31,0.6171
2020-02-29,0.48
2020-01-31,0.4302
2019-12-31,0.4479
2019-11-30,0.4576
2019-10-31,0.475
2019-09-30,0.4863
2019-08-31,0.4896
2019-07-31,0.4878
2019-06-30,0.5095
2019-05-31,0.5037
2019-04-30,0.5372
2019-03-31,0.5318
2019-02-28,0.5294
2019-01-31,0.5177
2018-12-31,0.5869
2018-11-30,0.5494
2018-10-31,0.5343
2018-09-30,0.6632
2018-08-31,0.6635
2018-07-31,0.672
2018-06-30,0.645
2018-05-31,0.6279
2018-04-30,0.6282
2018-03-31,0.6389
2018-02-28,0.6481
2018-01-31,0.5901
2017-12-31,0.6744
2017-11-30,0.6738
2017-10-31,0.6696
2017-09-30,0.6901
2017-08-31,0.6989
2017-07-31,0.7022
2017-06-30,0.7031
2017-05-31,0.6781
2017-04-30,0.7289
2017-03-31,0.7309
2017-02-28,0.7188
2017-01-31,0.6942
2016-12-31,0.6682
2016-11-30,0.6656
2016-10-31,0.634
2016-09-30,0.6095
2016-08-31,0.5916
2016-07-31,0.5133
2016-06-30,0.5156
2016-05-31,0.5003
2016-04-30,0.4921
2016-03-31,0.494
2016-02-29,0.4672
2016-01-31,0.464
2015-12-31,0.5087
2015-11-30,0.4771
2015-10-31,0.4778
2015-09-30,0.3797
2015-08-31,0.3833
2015-07-31,0.3014
2015-06-30,0.3231
2015-05-31,0.3224
2015-04-30,0.3492
2015-03-31,0.3509
2015-02-28,0.3562
2015-01-31,0.3309
2014-12-31,0.3226
2014-11-30,0.3137
2014-10-31,0.3441
2014-09-30,0.3377
2014-08-31,0.3392
2014-07-31,0.3486
2014-06-30,0.2754
2014-05-31,0.2806
2014-04-30,0.3185
2014-03-31,0.2691
2014-02-28,0.2794
2014-01-31,0.3533
2013-12-31,0.3788
2013-11-30,0.3788
2013-10-31,0.3504
2013-09-30,0.3658
2013-08-31,0.3543
2013-07-31,0.3493
2013-06-30,0.3534
2013-05-31,0.3694
2013-04-30,0.3753
2013-03-31,0.3843
2013-02-28,0.3805
2013-01-31,0.3767
2012-12-31,0.3911
2012-11-30,0.3911
2012-10-31,0.3883
2012-09-30,0.3879
2012-08-31,0.4028
2012-07-31,0.4049
2012-06-30,0.4159
2012-05-31,0.4247
2012-04-30,0.4059
2012-03-31,0.4139
2012-02-29,0.4213
2012-01-31,0.43
2011-12-31,0.4402
2011-11-30,0.4411
2011-10-31,0.4416
2011-09-30,0.4544
2011-08-31,0.4572
2011-07-31,0.4767
2011-06-30,0.48
2011-05-31,0.4834
2011-04-30,0.496
2011-03-31,0.4951
2011-02-28,0.4928
2011-01-31,0.4921
2010-12-31,0.5024
2010-11-30,0.532
2010-10-31,0.5448
2010-09-30,0.5513
2010-08-31,0.5798
2010-07-31,0.5987
2010-06-30,0.6209
2010-05-31,0.6208
2010-04-30,0.618
2010-03-31,0.6253
2010-02-28,0.6381
2010-01-31,0.6377
2009-12-31,0.6379
2009-11-30,0.6452
2009-10-31,0.639
2009-09-30,0.6447
2009-08-31,0.6527
2009-07-31,0.6543
2009-06-30,0.7067
2009-05-31,0.6997
2009-04-30,0.6672
2009-03-31,0.7691
2009-02-28,0.8061
2009-01-31,0.7929
2008-12-31,0.7738
2008-11-30,0.7123
2008-10-31,0.7662
2008-09-30,0.935
2008-08-31,1.055
2008-07-31,1.034
2008-06-30,1.057
2008-05-31,1.157
2008-04-30,1.186
2008-03-31,1.314
2008-02-29,1.322
2008-01-31,1.394
2007-12-31,1.448
2007-11-30,1.544
2007-10-31,1.549
2007-09-30,1.353
2007-08-31,1.558
2007-07-31,1.56
2007-06-30,1.566
2007-05-31,1.508
2007-04-30,1.497
2007-03-31,1.395
2007-02-28,1.397
2007-01-31,1.405
2006-12-31,1.397
2006-11-30,1.392
2006-10-31,1.329
2006-09-30,1.31
2006-08-31,1.289
2006-07-31,1.214
2006-06-30,1.2
2006-05-31,1.224
2006-04-30,1.225
2006-03-31,1.178
2006-02-28,1.198
2006-01-31,1.107
2005-12-31,1.05
2005-11-30,1.052
2005-10-31,0.9577
2005-09-30,0.9503
2005-08-31,0.9249
2005-07-31,0.8685
2005-06-30,0.845
2005-05-31,0.8251
2005-04-30,0.8248
2005-03-31,0.8093
2005-02-28,0.8829
2005-01-31,0.9029
2004-12-31,0.9213
2004-11-30,0.8478
2004-10-31,0.8471
2004-09-30,0.8007
2004-08-31,0.7855
2004-07-31,0.786
2004-06-30,0.7973
2004-05-31,0.8138
2004-04-30,0.8293
2004-03-31,0.7999
2004-02-29,0.8133
2004-01-31,0.7812
2003-12-31,0.7777
2003-11-30,0.8226
2003-10-31,0.8211
2003-09-30,0.8438
2003-08-31,0.8538
2003-07-31,0.8861
2003-06-30,0.8844
2003-05-31,0.877
2003-04-30,0.8526
2003-03-31,0.7961
2003-02-28,0.811
2003-01-31,0.8542
2002-12-31,0.8396
2002-11-30,0.8096
2002-10-31,0.8255
2002-09-30,0.8561
2002-08-31,0.7264
2002-07-31,0.7565
2002-06-30,0.7436
2002-05-31,0.725
2002-04-30,0.6938
2002-03-31,0.7545
2002-02-28,0.7086
2002-01-31,0.704
2001-12-31,0.6956
2001-11-30,0.6983
2001-10-31,0.7047
2001-09-30,0.6988
2001-08-31,0.6701
2001-07-31,0.7069
2001-06-30,0.7102
2001-05-31,0.6903
2001-04-30,0.6939
2001-03-31,0.7003
2001-02-28,0.6742
2001-01-31,0.73
2000-12-31,0.769
2000-11-30,0.7743
2000-10-31,0.8676
2000-09-30,0.86
2000-08-31,0.901
2000-07-31,0.9477
2000-06-30,0.9356
2000-05-31,0.9414
2000-04-30,0.9369
2000-03-31,0.9581
2000-02-29,0.8839
2000-01-31,0.8314
1999-12-31,0.8089
1999-11-30,0.8691
1999-10-31,0.8616
1999-09-30,0.9084
1999-08-31,0.9603
1999-07-31,0.9599
1999-06-30,0.9695
1999-05-31,0.9824
1999-04-30,0.9498
1999-03-31,0.9667
1999-02-28,0.9755
1999-01-31,1.02
1998-12-31,1.029
1998-11-30,1.016
1998-10-31,1.013
1998-09-30,0.9894
1998-08-31,0.9964
1998-07-31,0.9564
1998-06-30,0.9269
1998-05-31,0.9266
1998-04-30,0.9729
1998-03-31,1.022
